!SESSION 2024-04-30 19:49:30.529 -----------------------------------------------
eclipse.buildId=2022.2
java.version=11.0.11
java.vendor=Oracle Corporation
BootLoader constants: OS=linux, ARCH=x86_64, WS=gtk, NL=en_US
Command-line arguments:  -os linux -ws gtk -arch x86_64

This is a continuation of log file /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/.metadata/.bak_2.log
Created Time: 2024-05-01 00:18:37.376

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.376
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0], Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.381
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0], Result: [null, {"gpio_usb_int_S_AXI": {"name": "gpio_usb_int",
"base": "0x40000000",
"high": "0x4000FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"gpio_usb_keycode_S_AXI": {"name": "gpio_usb_keycode",
"base": "0x40010000",
"high": "0x4001FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"gpio_usb_rst_S_AXI": {"name": "gpio_usb_rst",
"base": "0x40020000",
"high": "0x4002FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"axi_uartlite_0_S_AXI": {"name": "axi_uartlite_0",
"base": "0x40600000",
"high": "0x4060FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"microblaze_0_axi_intc_s_axi": {"name": "microblaze_0_axi_intc",
"base": "0x41200000",
"high": "0x4120FFFF",
"size": "65536",
"slaveintf": "s_axi",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"timer_usb_axi_S_AXI": {"name": "timer_usb_axi",
"base": "0x41C00000",
"high": "0x41C0FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"spi_usb_AXI_LITE": {"name": "spi_usb",
"base": "0x44A00000",
"high": "0x44A0FFFF",
"size": "65536",
"slaveintf": "AXI_LITE",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"microblaze_0_local_memory_dlmb_bram_if_cntlr_SLMB_Mem": {"name": "microblaze_0_local_memory_dlmb_bram_if_cntlr",
"base": "0x00000000",
"high": "0x00007FFF",
"size": "32768",
"slaveintf": "SLMB",
"type": "MEMORY",
"flags": "7",
"segment": "Mem",
"acctype": "",
"tz": "",
},
}]. Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.382
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0 C_DEBUG_ENABLED], Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.383
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0 C_DEBUG_ENABLED], Result: [null, 1]. Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.383
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0 C_DEBUG_EVENT_COUNTERS], Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.384
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0 C_DEBUG_EVENT_COUNTERS], Result: [null, 5]. Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.385
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0 C_DEBUG_LATENCY_COUNTERS], Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.386
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value /media/lifrankfan/CrucialX6/PlantsVsZombie/workspace/top_level/export/top_level/hw/top_level.xsa microblaze_0 C_DEBUG_LATENCY_COUNTERS], Result: [null, 1]. Thread: Worker-365: Launching Debugger_PlantsVsZombies-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-05-01 00:18:37.386
